,close,datetime,high,low,open,volume
41,163.35,1504069200000,163.89,162.61,163.8,27269584
42,164.0,1504155600000,164.52,163.48,163.64,26785096
43,164.05,1504242000000,164.94,163.63,164.8,16591051
44,162.08,1504587600000,164.25,160.56,163.75,29536314
45,161.91,1504674000000,162.99,160.52,162.71,21651726
46,161.26,1504760400000,162.24,160.36,162.09,21928502
47,158.63,1504846800000,161.15,158.53,160.86,28611535
48,161.5,1505106000000,162.05,159.89,160.5,31580798
49,160.86,1505192400000,163.96,158.77,162.61,71714046
50,159.65,1505278800000,159.96,157.91,159.87,44907361
51,158.28,1505365200000,159.4,158.09,158.99,23760749
52,159.88,1505451600000,160.97,158.0,158.47,49114602
53,158.67,1505710800000,160.5,157.995,160.11,28269435
54,158.73,1505797200000,159.77,158.44,159.51,20810632
55,156.07,1505883600000,158.26,153.83,157.9,52951364
56,153.39,1505970000000,155.8,152.75,155.8,37511661
57,151.89,1506056400000,152.27,150.56,152.02,46645443
58,150.55,1506315600000,151.83,149.16,149.99,44387336
59,153.14,1506402000000,153.92,151.69,151.78,36660045
60,154.23,1506488400000,154.7189,153.54,153.8,25504227
61,153.28,1506574800000,154.28,152.7,153.89,22005455
62,154.12,1506661200000,154.13,152.0,153.21,26299810
63,153.81,1506920400000,154.45,152.72,154.26,18698842
64,154.48,1507006800000,155.09,153.91,154.01,16230293
65,153.48,1507093200000,153.86,152.46,153.63,20163750
66,155.39,1507179600000,155.44,154.05,154.18,21283769
67,155.3,1507266000000,155.49,154.56,154.97,17407558
68,155.84,1507525200000,156.73,155.485,155.81,16262923
69,155.9,1507611600000,158.0,155.1,156.055,15617014
70,156.55,1507698000000,156.98,155.75,155.97,16905640
71,156.0,1507784400000,157.37,155.7299,156.35,16125054
72,156.99,1507870800000,157.28,156.41,156.73,16394188
73,159.88,1508130000000,160.0,157.65,157.9,24121452
74,160.47,1508216400000,160.87,159.23,159.78,18997275
75,159.76,1508302800000,160.71,159.6,160.42,16374164
76,155.98,1508389200000,157.08,155.02,156.75,42584166
77,156.25,1508475600000,157.75,155.96,156.61,23974146
78,156.17,1508734800000,157.69,155.5,156.89,21984327
79,157.1,1508821200000,157.42,156.2,156.29,17757230
80,156.41,1508907600000,157.55,155.27,156.91,21207098
81,157.41,1508994000000,157.8295,156.78,157.23,17000469
82,163.05,1509080400000,163.6,158.7,159.29,44454160
83,166.72,1509339600000,168.07,163.72,163.89,44700772
84,169.04,1509426000000,169.6499,166.94,167.9,36046828
85,166.89,1509512400000,169.94,165.61,169.87,33637762
86,168.11,1509598800000,168.5,165.28,167.64,41393373
87,172.5,1509685200000,174.26,171.12,174.0,59398631
88,174.25,1509948000000,174.99,171.72,172.365,35026306
89,174.81,1510034400000,175.25,173.6,173.91,24361485
90,176.24,1510120800000,176.24,174.33,174.66,24409527
91,175.88,1510207200000,176.095,173.14,175.11,29482596
92,174.67,1510293600000,175.38,174.27,175.11,25145500
93,173.97,1510552800000,174.5,173.4,173.5,16982080
94,171.34,1510639200000,173.48,171.18,173.04,24782487
95,169.08,1510725600000,170.3197,168.38,169.97,29158070
96,171.1,1510812000000,171.87,170.3,171.18,23637484
97,170.15,1510898400000,171.39,169.64,171.04,21899544
98,169.98,1511157600000,170.56,169.56,170.29,16262447
99,173.14,1511244000000,173.7,170.78,170.78,25131295
100,174.96,1511330400000,175.0,173.05,173.36,25588925
101,174.97,1511503200000,175.5,174.6459,175.1,14026673
102,174.09,1511762400000,175.08,173.34,175.05,20716802
103,173.07,1511848800000,174.87,171.86,174.3,26428802
104,169.48,1511935200000,172.92,167.16,172.63,41666364
105,171.85,1512021600000,172.14,168.44,170.43,41527218
106,171.05,1512108000000,171.67,168.5,169.95,39759288
107,169.8,1512367200000,172.62,169.63,172.48,32542385
108,169.64,1512453600000,171.52,168.4,169.06,27350154
109,169.01,1512540000000,170.2047,166.46,167.5,28560000
110,169.32,1512626400000,170.44,168.91,169.03,25673308
111,169.37,1512712800000,171.0,168.82,170.49,23355231
112,172.67,1512972000000,172.89,168.79,169.2,35273759
113,171.7,1513058400000,172.39,171.461,172.15,19409230
114,172.27,1513144800000,173.54,172.0,172.5,23818447
115,172.22,1513231200000,173.13,171.65,172.4,20476541
116,173.97,1513317600000,174.17,172.46,173.63,40169307
117,176.42,1513576800000,177.2,174.86,174.88,29421114
118,174.54,1513663200000,175.39,174.09,175.03,27436447
119,174.35,1513749600000,175.42,173.25,174.87,23475649
120,175.01,1513836000000,176.02,174.1,174.17,20949896
121,175.01,1513922400000,175.424,174.5,174.68,16349444
122,170.57,1514268000000,171.47,169.679,170.8,33185536
123,170.6,1514354400000,170.78,169.71,170.1,21498213
124,171.08,1514440800000,171.85,170.48,171.0,16480187
125,169.23,1514527200000,170.59,169.22,170.52,25999922
126,172.26,1514872800000,172.3,169.26,170.16,25555934
127,172.23,1514959200000,174.55,171.96,172.53,29517899
128,173.03,1515045600000,173.47,172.08,172.54,22434597
129,175.0,1515132000000,175.37,173.05,173.44,23660018
130,174.35,1515391200000,175.61,173.93,174.35,20567766
131,174.33,1515477600000,175.06,173.41,174.55,21583997
132,174.29,1515564000000,174.3,173.0,173.16,23959895
133,175.28,1515650400000,175.4886,174.49,174.59,18667729
134,177.09,1515736800000,177.36,175.65,176.18,25418080
135,176.19,1516082400000,179.39,176.14,177.9,29565947
136,179.1,1516168800000,179.25,175.07,176.15,34386836
137,179.26,1516255200000,180.1,178.25,179.37,31193352
138,178.46,1516341600000,179.58,177.41,178.61,32425067
139,177.0,1516600800000,177.78,176.6016,177.3,27108551
